Tm,Year,NP,PAge,RA/G,W,L,WLP,ERA,G,GS,GF,CG,tSho,cSho,SV,IP,HA,RA,ER,HRA,BBA,IBBA,SOP,HBPA,BK,WP,BF,ERAP,FIP,WHIP,H9,HR9,BB9,SO9,SO/W,LOBP,NBat,BatAge,R/G,PA,AB,R,H,Doubles,Triples,HR,RBI,SB,CS,BB,SO,BA,OBP,SLG,OPS,OPSP,TB,GDP,HBP,SH,SF,IBB,LOB,NFld,DefEff,Ch,PO,A,E,DP,FldP
League Average,2024,28,29,4.39,81,81,0.5,4.07,162,162,161,1,11,1,41,1437,1327,711,650,182,498,17,1373,67,7,48,6082,101,4.08,1.27,8.3,1.1,3.1,8.6,2.76,1079,48,27.9,4.39,6082,5456,711,1327,259,23,182,679,121,32,498,1373,0.243,0.312,0.399,0.711,100,2178,108,67,15,42,17,1079,48,0.697,5779,4312,1381,86,123,0.985
League Average,2023,29,28.9,4.62,81,81,0.5,4.33,162,162,161,1,10,1,41,1436,1361,748,690,196,527,16,1395,70,7,54,6137,101,4.33,1.315,8.5,1.2,3.3,8.7,2.65,1099,49,28,4.62,6137,5481,748,1361,274,24,196,717,117,29,527,1395,0.248,0.32,0.414,0.734,100,2270,116,70,14,41,16,1099,48,0.691,5794,4309,1401,84,132,0.986
League Average,2022,29,28.8,4.28,81,81,0.5,3.96,162,162,161,1,11,1,41,1436,1322,694,632,174,495,16,1360,68,4,54,6068,101,3.97,1.266,8.3,1.1,3.1,8.5,2.75,1087,50,28.2,4.28,6068,5449,694,1322,265,21,174,663,83,27,495,1360,0.243,0.312,0.395,0.706,100,2152,113,68,13,41,16,1087,50,0.697,5818,4308,1425,86,131,0.985
League Average,2013,23,28.4,4.17,81,81,0.5,3.86,162,162,158,4,11,2,42,1455,1403,675,624,155,488,34,1224,51,4,58,6162,101,3.87,1.3,8.7,1,3,7.6,2.51,1122,43,28.5,4.17,6162,5536,675,1403,274,26,155,642,90,34,488,1224,0.253,0.318,0.396,0.714,97,2195,124,51,46,41,34,1122,43,0.692,6078,4365,1621,92,145,0.985
League Average,2012,22,28.4,4.32,81,81,0.5,4.01,162,162,158,4,10,2,42,1445,1402,701,643,164,490,35,1214,50,6,51,6139,101,4.01,1.309,8.7,1,3.1,7.6,2.48,1103,43,28.5,4.32,6139,5508,701,1402,275,31,164,667,108,38,490,1214,0.255,0.319,0.405,0.724,97,2233,120,50,49,41,35,1103,43,0.691,6062,4336,1626,100,142,0.983
League Average,2011,22,28.3,4.28,81,81,0.5,3.94,162,162,156,6,11,2,41,1451,1409,694,634,152,501,41,1150,52,6,52,6175,101,3.94,1.316,8.7,0.9,3.1,7.1,2.3,1128,43,28.7,4.28,6175,5524,694,1409,280,30,152,660,109,42,501,1150,0.255,0.321,0.399,0.72,97,2204,117,52,56,42,41,1128,43,0.694,6098,4353,1643,102,141,0.983
League Average,2003,20,28.7,4.73,81,81,0.5,4.39,162,162,155,7,9,2,40,1445,1469,766,705,174,530,44,1027,62,5,52,6248,101,4.4,1.383,9.1,1.1,3.3,6.4,1.94,1149,41,29.2,4.73,6248,5558,766,1469,294,31,174,730,86,38,530,1027,0.264,0.333,0.422,0.755,97,2346,128,62,54,45,44,1149,41,0.694,6120,4334,1681,106,153,0.983
League Average,2002,20,28.8,4.62,81,81,0.5,4.27,162,162,155,7,9,3,41,1442,1442,747,684,169,542,48,1046,58,5,50,6220,101,4.28,1.376,9,1.1,3.4,6.5,1.93,1147,41,29.2,4.62,6220,5519,747,1442,290,31,169,711,92,43,542,1046,0.261,0.331,0.417,0.748,97,2300,128,58,54,47,48,1147,40,0.695,6090,4327,1656,108,152,0.982
League Average,2001,20,28.7,4.78,81,81,0.5,4.41,162,162,155,7,8,2,40,1443,1463,773,707,182,527,46,1080,63,5,49,6233,100,4.42,1.379,9.1,1.1,3.3,6.7,2.05,1130,41,29.2,4.78,6233,5541,773,1463,294,31,182,736,103,47,527,1080,0.264,0.332,0.427,0.759,97,2364,122,63,54,47,46,1130,40,0.691,6087,4329,1647,112,148,0.982
League Average,1993,18,28.5,4.6,81,81,0.5,4.18,162,162,149,13,8,4,43,1447,1467,745,672,144,540,53,940,43,11,53,6234,101,4.19,1.387,9.1,0.9,3.4,5.8,1.74,1149,39,28.4,4.6,6234,5536,745,1467,266,34,144,700,117,59,540,940,0.265,0.332,0.403,0.736,97,2232,123,43,65,51,53,1149,39,0.693,6194,4340,1729,124,151,0.98
League Average,1992,17,28.6,4.12,81,81,0.5,3.74,162,162,146,16,11,6,43,1455,1406,667,604,117,526,51,905,38,8,50,6175,100,3.75,1.328,8.7,0.7,3.3,5.6,1.72,1143,39,28.4,4.12,6175,5496,667,1406,252,32,117,626,126,62,526,905,0.256,0.322,0.377,0.7,97,2074,120,38,64,50,51,1143,38,0.703,6227,4365,1744,118,147,0.981
League Average,1991,18,28.3,4.31,81,81,0.5,3.91,162,162,148,14,10,4,44,1453,1406,697,630,130,538,47,938,35,9,54,6183,101,3.91,1.338,8.7,0.8,3.3,5.8,1.74,1127,40,28.4,4.31,6183,5499,697,1406,250,34,130,656,120,60,538,938,0.256,0.323,0.385,0.708,97,2115,116,35,62,48,47,1127,39,0.702,6223,4358,1745,120,144,0.981
League Average,1980,15,28,4.29,81,81,0.5,3.83,162,162,129,33,10,7,35,1456,1467,694,620,119,507,55,777,25,10,40,6200,101,3.84,1.356,9.1,0.7,3.1,4.8,1.53,1137,35,28.2,4.29,6200,5545,694,1467,244,41,119,651,127,62,507,777,0.265,0.326,0.388,0.714,97,2150,129,25,72,50,55,1137,35,0.699,6352,4369,1845,139,158,0.978
League Average,1979,15,27.8,4.46,81,81,0.5,3.99,161,161,126,35,9,7,32,1441,1458,720,639,132,523,53,771,29,6,44,6168,101,4,1.374,9.1,0.8,3.3,4.8,1.47,1124,35,28,4.46,6168,5492,720,1458,247,41,132,675,115,61,523,771,0.265,0.33,0.397,0.727,97,2183,128,29,73,51,53,1124,34,0.7,6271,4324,1807,140,158,0.978
League Average,1978,14,27.6,4.1,81,81,0.5,3.68,162,162,122,40,12,9,31,1442,1404,664,589,114,522,51,771,30,10,41,6123,100,3.69,1.335,8.8,0.7,3.3,4.8,1.48,1133,35,27.7,4.1,6123,5445,664,1404,238,39,114,619,116,62,522,771,0.258,0.323,0.379,0.702,97,2062,118,30,76,49,51,1133,34,0.706,6264,4327,1799,139,148,0.978
